660517

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.25
2                       6.36
4                       6.18
8                       6.33
16                      6.25
32                      6.61
64                      7.00
128                     6.99
256                     7.14
512                     7.66
1024                    9.45
2048                   11.05
4096                   14.69
8192                   22.37
16384                  47.11
32768                  86.02
65536                 149.87
131072                319.09
262144                666.09
