655346

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.43
2                       6.34
4                       6.35
8                       6.24
16                      6.42
32                      6.80
64                      7.00
128                     7.12
256                     7.50
512                     8.10
1024                    9.52
2048                   11.09
4096                   14.55
8192                   21.99
16384                  47.04
32768                  85.69
65536                 150.01
131072                322.27
262144                671.10
