647940

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.32
2                       6.50
4                       6.45
8                       6.35
16                      6.25
32                      6.65
64                      6.90
128                     6.85
256                     7.36
512                     8.04
1024                    9.57
2048                   10.95
4096                   14.49
8192                   21.97
16384                  46.74
32768                  85.38
65536                 149.03
131072                309.80
262144                626.97
