646517

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.34
2                       6.38
4                       6.43
8                       6.55
16                      6.42
32                      6.76
64                      6.91
128                     7.10
256                     7.28
512                     7.85
1024                    9.47
2048                   11.47
4096                   14.79
8192                   22.00
16384                  46.97
32768                  85.40
65536                 149.21
131072                325.06
262144                670.01
