1367196

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.01
2                       4.86
4                       4.85
8                       4.80
16                      5.58
32                      5.44
64                      5.68
128                     8.40
256                    18.04
512                    15.63
1024                   14.46
2048                   11.70
4096                   21.61
8192                   19.54
16384                  23.68
32768                  36.31
65536                  60.69
131072                111.69
262144                352.72
