1368093

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.85
2                       7.61
4                       8.38
8                       6.12
16                      6.07
32                      6.18
64                      6.94
128                    11.57
256                     9.16
512                     8.72
1024                    8.59
2048                   15.00
4096                   20.49
8192                   17.79
16384                  23.42
32768                  36.69
65536                  84.56
131072                138.57
262144                265.61
