1368556

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.30
2                       6.46
4                      11.33
8                      20.39
16                      8.58
32                      6.56
64                      6.16
128                    24.74
256                    43.13
512                    25.21
1024                    8.76
2048                   17.28
4096                   25.39
8192                   38.50
16384                  23.38
32768                  36.49
65536                  64.80
131072                133.76
262144                368.37
