1366737

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.25
2                       6.31
4                       5.01
8                       9.78
16                      6.30
32                      6.00
64                      5.76
128                     8.70
256                    11.23
512                     8.15
1024                    8.51
2048                   10.12
4096                   15.94
8192                   18.14
16384                  23.50
32768                  66.84
65536                  61.51
131072                114.32
262144                260.12
