1366960

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       6.57
2                       4.92
4                      15.12
8                       4.62
16                      9.38
32                      8.62
64                      7.22
128                     8.22
256                    11.99
512                    11.46
1024                    8.92
2048                   17.92
4096                   19.94
8192                   17.25
16384                  23.04
32768                  35.86
65536                  60.05
131072                108.44
262144                258.49
