1368217

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.19
2                      13.29
4                       4.69
8                       5.71
16                      5.62
32                      5.65
64                     14.62
128                    11.59
256                    25.33
512                    12.84
1024                   10.84
2048                    9.63
4096                   22.59
8192                   17.39
16384                  30.20
32768                  36.72
65536                  75.58
131072                122.84
262144                333.72
