1379969

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      28.90
2                      20.61
4                      44.48
8                      39.94
16                     30.42
32                     30.44
64                     22.23
128                    23.19
256                    24.29
512                    22.26
1024                   25.93
2048                   30.18
4096                   37.65
8192                  236.05
16384                  76.64
32768                 125.89
65536                 223.09
131072                391.00
262144               3371.72
