1391592

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      20.82
2                      19.15
4                      20.92
8                      23.44
16                     24.33
32                     19.18
64                     27.85
128                    25.12
256                    27.25
512                    27.29
1024                   23.88
2048                   28.42
4096                   39.87
8192                  187.19
16384                  95.41
32768                 125.53
65536                 200.94
131072                401.39
262144               3678.65
