1388277

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      30.88
2                      22.75
4                      24.82
8                      22.71
16                     27.16
32                     19.37
64                     26.24
128                    41.38
256                    27.41
512                    36.04
1024                   35.43
2048                   31.35
4096                   47.21
8192                  197.12
16384                  70.90
32768                 128.69
65536                 215.30
131072                434.39
262144               3973.04
