1378314

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      40.87
2                      22.15
4                      17.06
8                      33.35
16                     19.30
32                     30.64
64                     27.12
128                    31.26
256                    32.89
512                    35.26
1024                   29.36
2048                   43.73
4096                   35.42
8192                  194.46
16384                 135.21
32768                 130.80
65536                 236.75
131072                409.20
262144               3759.77
