
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      18.95             17.31             15.94             89.72
2                      11.01              8.39              7.54             65.17
4                      10.90              8.84              7.98             74.19
8                      10.80              8.19              7.37             64.58
16                     10.70              8.07              7.30             64.06
32                     10.78              8.12              7.32             63.58
64                     10.60              8.12              7.32             66.14
128                    11.90              9.13              8.24             66.39
256                    19.73             12.56             11.47             37.50
512                    19.78             12.74             11.64             39.59
1024                   20.07             13.00             11.90             40.54
2048                   20.72             13.53             12.37             41.84
4096                   21.24             13.85             12.70             41.77
8192                   22.99             15.34             14.07             45.62
16384                  27.56             18.22             16.79             44.36
32768                  55.20             39.48             36.72             57.18
65536                  77.49             57.42             53.58             62.54
131072                127.09             96.31             90.07             65.83
262144                224.09            172.52            161.61             68.09
