
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      19.79             17.21             15.86             83.72
2                      11.06              8.49              7.69             66.56
4                      10.94              8.70              7.86             71.43
8                      10.65              8.22              7.38             67.08
16                     10.92              8.19              7.36             62.91
32                     10.72              8.22              7.39             66.17
64                     10.62              8.27              7.43             68.42
128                    11.84              9.15              8.27             67.42
256                    19.79             12.74             11.63             39.43
512                    19.76             12.83             11.72             40.91
1024                   20.12             13.11             12.00             41.63
2048                   20.73             13.60             12.47             42.82
4096                   21.19             14.02             12.84             44.13
8192                   23.11             15.36             14.12             45.13
16384                  26.88             18.34             16.92             49.56
32768                  54.95             39.51             36.76             58.00
65536                  77.45             57.26             53.40             62.19
131072                127.44             96.80             90.51             66.15
262144                223.98            172.39            161.47             68.05
