
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      22.39             20.45             18.87             89.75
2                      11.06              8.35              7.51             63.95
4                      10.85              8.69              7.83             72.35
8                      10.62              8.25              7.42             68.11
16                     10.97              8.24              7.40             63.14
32                     10.82              8.39              7.55             67.80
64                     10.65              8.18              7.36             66.32
128                    11.83              9.07              8.17             66.16
256                    19.63             12.58             11.51             38.78
512                    19.76             12.79             11.67             40.30
1024                   20.04             13.05             11.93             41.44
2048                   20.71             13.59             12.44             42.85
4096                   21.29             14.09             12.94             44.35
8192                   23.05             15.42             14.16             46.14
16384                  26.98             18.37             16.93             49.16
32768                  54.92             39.43             36.69             57.78
65536                  77.43             57.51             53.64             62.87
131072                126.79             96.14             89.92             65.91
262144                224.69            173.04            162.07             68.13
