
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      22.42             20.70             19.12             91.04
2                      11.00              8.39              7.53             65.44
4                      10.83              8.65              7.81             71.99
8                      10.70              8.18              7.35             65.68
16                     10.93              8.15              7.35             62.20
32                     10.81              8.25              7.41             65.54
64                     10.77              8.22              7.38             65.50
128                    11.90              9.07              8.19             65.43
256                    19.58             12.54             11.45             38.51
512                    19.73             12.77             11.69             40.49
1024                   19.94             12.99             11.90             41.56
2048                   20.72             13.68             12.54             43.88
4096                   21.17             13.96             12.79             43.59
8192                   22.99             15.37             14.13             46.10
16384                  26.89             18.32             16.87             49.22
32768                  55.05             39.65             36.90             58.26
65536                  77.50             57.26             53.43             62.12
131072                127.25             96.40             90.10             65.76
262144                224.19            172.94            161.91             68.34
