
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      22.82             20.64             19.04             88.59
2                      11.03              8.41              7.58             65.51
4                      10.87              8.71              7.85             72.41
8                      10.72              8.16              7.34             65.08
16                     10.95              8.14              7.34             61.77
32                     10.74              8.21              7.38             65.71
64                     10.65              8.26              7.42             67.81
128                    11.96              9.15              8.28             66.09
256                    19.60             12.64             11.55             39.79
512                    19.74             12.81             11.70             40.72
1024                   19.96             12.98             11.88             41.28
2048                   20.76             13.62             12.48             42.80
4096                   21.20             14.00             12.83             43.94
8192                   23.08             15.43             14.16             45.97
16384                  26.82             18.34             16.90             49.79
32768                  55.06             39.53             36.79             57.79
65536                  77.42             57.34             53.51             62.46
131072                136.48            100.51             94.01             61.74
262144                223.69            172.24            161.33             68.11
