
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      20.96             19.19             17.71             90.02
2                      11.00              8.39              7.55             65.40
4                      10.95              8.86              8.01             73.93
8                      10.66              8.19              7.36             66.40
16                     10.86              8.19              7.37             63.76
32                     10.73              8.20              7.38             65.77
64                     10.67              8.21              7.36             66.56
128                    11.91              9.12              8.24             66.18
256                    20.50             12.70             11.60             32.72
512                    19.82             12.78             11.67             39.65
1024                   19.99             12.99             11.89             41.13
2048                   20.81             13.60             12.46             42.12
4096                   21.22             14.00             12.84             43.80
8192                   23.15             15.46             14.19             45.84
16384                  27.07             18.97             17.50             53.75
32768                  55.15             39.61             36.83             57.82
65536                  77.22             57.16             53.36             62.40
131072                126.85             96.31             90.08             66.09
262144                225.20            173.52            162.55             68.21
