
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      18.17             16.39             15.05             88.23
2                      11.14              8.38              7.55             63.45
4                      10.95              8.76              7.90             72.28
8                      10.70              8.28              7.44             67.58
16                     10.88              8.23              7.39             64.22
32                     10.82              8.29              7.44             65.98
64                     10.75              8.32              7.48             67.52
128                    11.95              9.15              8.25             66.03
256                    19.76             12.59             11.48             37.57
512                    19.82             12.93             11.83             41.81
1024                   20.08             13.34             12.21             44.83
2048                   20.78             13.54             12.40             41.66
4096                   21.20             13.98             12.80             43.60
8192                   23.18             15.45             14.19             45.50
16384                  27.02             18.46             16.99             49.63
32768                  55.23             39.64             36.86             57.72
65536                  77.87             57.58             53.71             62.22
131072                128.36             96.38             90.14             64.52
262144                233.79            174.16            163.14             63.45
