
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      21.76             19.93             18.38             90.06
2                      11.06              8.36              7.51             64.12
4                      10.89              8.71              7.86             72.31
8                      10.57              8.15              7.34             67.12
16                     10.83              8.29              7.47             65.97
32                     10.65              8.21              7.40             66.94
64                     10.58              8.22              7.39             67.95
128                    12.07              9.24              8.36             66.16
256                    19.61             12.65             11.56             39.71
512                    19.78             12.77             11.66             39.88
1024                   19.94             12.97             11.87             41.23
2048                   20.73             13.55             12.40             42.12
4096                   21.24             13.96             12.78             42.98
8192                   23.11             15.48             14.20             46.25
16384                  26.84             18.34             16.89             49.65
32768                  55.08             39.53             36.79             57.73
65536                  77.38             57.18             53.36             62.16
131072                127.14             96.25             90.00             65.68
262144                225.03            172.86            161.91             67.78
