
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      23.24             21.62             19.97             91.92
2                      10.92              8.36              7.51             65.97
4                      10.91              8.82              7.97             73.75
8                      10.56              8.24              7.43             68.80
16                     10.94              8.30              7.45             64.55
32                     10.73              8.16              7.35             64.99
64                     11.10              9.01              8.15             74.40
128                    11.78              9.11              8.23             67.59
256                    19.63             12.59             11.52             38.84
512                    19.75             12.87             11.76             41.51
1024                   19.96             13.03             11.91             41.81
2048                   20.81             13.52             12.38             41.12
4096                   21.32             13.98             12.81             42.73
8192                   23.13             15.40             14.14             45.36
16384                  26.87             18.40             16.94             50.00
32768                  54.95             39.59             36.85             58.33
65536                  77.44             57.31             53.48             62.37
131072                127.39             96.52             90.26             65.80
262144                225.28            173.62            162.64             68.24
