798108

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      30.14             10.80              9.79              0.00
2                      59.07             22.54             20.91              0.00
4                      60.27             26.69             24.82              0.00
8                      38.80             23.96             22.28             33.39
16                     22.42             16.47             15.17             60.81
32                     33.93             19.75             18.28             22.42
64                     40.64             14.21             13.05              0.00
128                    31.71             18.25             16.87             20.22
256                    42.06             10.55              9.58              0.00
512                    35.19             16.03             14.77              0.00
1024                   40.00             21.85             20.25             10.39
2048                   54.65             29.51             27.49              8.56
4096                  106.87             41.52             38.84              0.00
8192                  180.82             91.41             85.98              0.00
16384                 415.50            241.27            227.53             23.43
32768                1833.79           1312.64           1239.60             57.96
65536                3239.76           2592.90           2449.08             73.59
131072               5584.44           4389.48           4146.34             71.18
262144              10191.40           7425.96           7015.02             60.58
