787079

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      17.90              9.26              8.37              0.00
2                      33.15              9.24              8.34              0.00
4                      58.84             14.23             13.06              0.00
8                      51.01             18.92             17.50              0.00
16                     55.40             28.52             26.56              0.00
32                     51.48             20.37             18.87              0.00
64                     66.61             23.64             21.92              0.00
128                    46.66             24.08             22.35              0.00
256                    61.17             28.01             26.08              0.00
512                    57.77             24.71             22.95              0.00
1024                   41.53             23.39             21.73             16.55
2048                   48.02             33.31             31.08             52.67
4096                   98.87             46.84             43.88              0.00
8192                  180.56             91.60             86.15              0.00
16384                 427.22            249.65            235.44             24.58
32768                1826.73           1355.72           1280.33             63.21
65536                3112.00           2513.95           2374.49             74.81
131072               5500.55           4370.80           4128.68             72.64
262144               9509.02           7365.07           6957.40             69.18
