788068

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      19.21             12.47             11.40             40.83
2                      20.55              9.88              8.95              0.00
4                     105.02             10.13              9.21              0.00
8                      36.19             31.61             29.46             84.46
16                     28.11             15.94             14.69             17.19
32                     33.07             21.56             20.00             42.46
64                     17.50              9.97              9.04             16.69
128                    47.36             18.80             17.38              0.00
256                    49.95             21.66             20.09              0.00
512                    51.81             22.71             21.06              0.00
1024                   35.78             18.35             16.93              0.00
2048                   46.49             26.51             24.68             19.05
4096                  102.13             43.93             41.13              0.00
8192                  179.56             91.15             85.72              0.00
16384                 431.40            240.75            227.05             16.03
32768                1881.70           1385.52           1308.50             62.08
65536                3222.64           2612.77           2467.86             75.29
131072               6216.11           4433.56           4187.98             57.44
262144              10928.18           7294.32           6890.62             47.26
