793085

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      18.15             11.61             10.61             38.39
2                      26.10             10.66              9.69              0.00
4                      38.09             16.86             15.54              0.00
8                      43.52             26.55             24.70             31.26
16                     39.01             19.31             17.86              0.00
32                     34.50             20.34             18.85             24.84
64                     35.59             29.65             27.63             78.51
128                    26.36             20.50             19.00             69.17
256                    44.37             11.32             10.33              0.00
512                    43.16             31.17             29.08             58.76
1024                   31.28             17.70             16.34             16.93
2048                   50.81             26.38             24.53              0.38
4096                  100.67             46.21             43.27              0.00
8192                  181.33             92.82             87.31              0.00
16384                 442.55            242.82            229.01             12.79
32768                1836.25           1374.57           1298.22             64.44
65536                3189.81           2579.74           2436.79             74.96
131072               5559.07           4453.25           4206.80             73.71
262144              11573.60           7473.40           7060.14             41.92
