933098

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.94
2                      15.21
4                      15.66
8                      19.71
16                     16.76
32                     19.00
64                     15.15
128                    20.71
256                    15.80
512                    19.79
1024                   16.88
2048                   16.87
4096                   19.71
8192                   27.65
16384                  39.16
32768                 120.46
65536                 136.93
131072                178.53
262144                270.43
