937492

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.81
2                      20.75
4                      21.21
8                      15.04
16                     12.48
32                     11.80
64                     12.57
128                    14.42
256                    21.49
512                    24.95
1024                   13.74
2048                   20.32
4096                   22.07
8192                   27.71
16384                  35.24
32768                 110.71
65536                 134.44
131072                163.76
262144                260.84
