933930

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.96
2                      18.38
4                      18.14
8                      16.66
16                     18.05
32                     13.57
64                     20.54
128                    20.45
256                    22.00
512                    17.15
1024                   27.62
2048                   28.12
4096                   30.53
8192                   30.78
16384                  38.56
32768                 113.57
65536                 135.92
131072                155.65
262144                265.35
