935124

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.00
2                      14.31
4                      12.56
8                      13.07
16                     17.57
32                     22.17
64                     17.15
128                    10.99
256                    10.39
512                    10.05
1024                   14.69
2048                   23.93
4096                   29.66
8192                   33.87
16384                  33.54
32768                 117.57
65536                 136.02
131072                166.77
262144                277.06
