929067

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.09
2                      19.91
4                      16.10
8                      14.13
16                     18.73
32                     23.98
64                     17.88
128                    22.69
256                    19.74
512                    21.93
1024                   22.58
2048                   30.72
4096                   25.68
8192                   26.65
16384                  38.81
32768                 121.19
65536                 134.70
131072                165.58
262144                267.96
