928614

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.55
2                      25.47
4                      20.87
8                      28.96
16                     25.53
32                     23.23
64                     23.43
128                    22.97
256                    15.62
512                    21.65
1024                   25.41
2048                   21.66
4096                   21.31
8192                   26.53
16384                  37.52
32768                 114.67
65536                 130.63
131072                159.29
262144                274.61
