937862

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.03
2                      20.39
4                      20.85
8                      15.17
16                     12.95
32                     14.05
64                     16.33
128                    22.03
256                    23.45
512                    15.44
1024                   11.11
2048                   14.10
4096                   20.22
8192                   33.92
16384                  38.05
32768                 106.45
65536                 125.33
131072                170.94
262144                268.33
