932744

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.71
2                      10.91
4                      22.12
8                      25.99
16                     19.78
32                     20.12
64                     13.58
128                    15.14
256                    21.15
512                    20.60
1024                   13.74
2048                   11.98
4096                   23.66
8192                   29.10
16384                  34.78
32768                 106.09
65536                 123.12
131072                167.84
262144                269.77
