1180829

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.53
2                       1.57
4                       1.52
8                       1.57
16                      1.88
32                      1.91
64                      1.93
128                     4.55
256                     4.58
512                     4.69
1024                    4.75
2048                    5.16
4096                    6.31
8192                    6.25
16384                   8.51
32768                  12.74
65536                  20.87
131072                 36.83
262144                 83.09
