1181454

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.55
2                       1.59
4                       1.54
8                       1.58
16                      1.91
32                      1.94
64                      1.95
128                     4.56
256                     4.57
512                     4.61
1024                    4.77
2048                    5.16
4096                    6.31
8192                    6.28
16384                   8.49
32768                  12.68
65536                  20.77
131072                 36.57
262144                 83.36
