1181016

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.54
2                       1.57
4                       1.53
8                       1.57
16                      1.89
32                      1.92
64                      1.94
128                     4.58
256                     4.59
512                     4.68
1024                    4.72
2048                    5.12
4096                    6.27
8192                    6.25
16384                   8.50
32768                  12.72
65536                  20.78
131072                 36.65
262144                 83.11
