1181150

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.55
2                       1.59
4                       1.52
8                       1.58
16                      1.92
32                      1.95
64                      1.97
128                     4.58
256                     4.61
512                     4.73
1024                    4.80
2048                    5.16
4096                    6.33
8192                    6.31
16384                   8.51
32768                  12.64
65536                  20.84
131072                 36.76
262144                 83.89
