1179903

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.55
2                       1.57
4                       1.50
8                       1.58
16                      1.91
32                      1.96
64                      1.97
128                     4.61
256                     4.63
512                     4.76
1024                    4.83
2048                    5.19
4096                    6.37
8192                    6.33
16384                   8.61
32768                  12.81
65536                  21.06
131072                 37.28
262144                 84.55
