1181574

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.54
2                       1.56
4                       1.51
8                       1.57
16                      1.89
32                      1.91
64                      1.91
128                     4.54
256                     4.57
512                     4.67
1024                    4.74
2048                    5.11
4096                    6.25
8192                    6.25
16384                   8.46
32768                  12.62
65536                  20.72
131072                 36.61
262144                 83.10
