1181878

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.49
2                       1.52
4                       1.49
8                       1.52
16                      1.82
32                      1.83
64                      1.86
128                     4.37
256                     4.40
512                     4.57
1024                    4.73
2048                    5.12
4096                    6.28
8192                    6.25
16384                   8.50
32768                  12.70
65536                  20.83
131072                 36.62
262144                 82.94
