1180761

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.54
2                       1.57
4                       1.52
8                       1.57
16                      1.89
32                      1.91
64                      1.94
128                     4.55
256                     4.61
512                     4.72
1024                    4.82
2048                    5.11
4096                    6.24
8192                    6.24
16384                   8.44
32768                  12.61
65536                  20.83
131072                 36.48
262144                 83.77
