1181760

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.54
2                       1.57
4                       1.52
8                       1.57
16                      1.89
32                      1.93
64                      1.94
128                     4.55
256                     4.59
512                     4.70
1024                    4.75
2048                    5.11
4096                    6.25
8192                    6.26
16384                   8.47
32768                  12.59
65536                  20.77
131072                 36.45
262144                 82.99
