1180692

# OSU MPI Broadcast Latency Test v7.0
# Size       Avg Latency(us)
1                       1.54
2                       1.58
4                       1.52
8                       1.58
16                      1.91
32                      1.93
64                      1.95
128                     4.57
256                     4.62
512                     4.72
1024                    4.80
2048                    5.17
4096                    6.32
8192                    6.29
16384                   8.52
32768                  12.68
65536                  20.85
131072                 36.74
262144                 83.54
