
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.69
2                       2.40
4                       2.34
8                       2.34
16                      2.34
32                      2.35
64                      2.35
128                     2.38
256                     3.07
512                     3.11
1024                    3.21
2048                    3.38
4096                    3.53
8192                    3.97
16384                   4.77
32768                   9.23
65536                  15.94
131072                 22.85
262144                 36.65
