
# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.80
2                       2.33
4                       2.31
8                       2.31
16                      2.31
32                      2.39
64                      2.32
128                     2.35
256                     3.04
512                     3.07
1024                    3.17
2048                    3.34
4096                    3.48
8192                    3.93
16384                   4.73
32768                   9.24
65536                  15.70
131072                 22.56
262144                 36.34
