1632112

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.53
2                       9.39
4                       9.96
8                       9.31
16                      9.92
32                      9.82
64                     10.15
128                    10.83
256                    11.60
512                    12.06
1024                   13.32
2048                   17.69
4096                   23.23
8192                   31.79
16384                  50.09
32768                 117.32
65536                 187.51
131072                369.64
262144                719.66
