1624352

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.95
2                      10.02
4                      10.46
8                      10.46
16                      9.87
32                     10.98
64                      9.98
128                    10.54
256                    10.80
512                    11.49
1024                   13.32
2048                   17.05
4096                   22.29
8192                   30.72
16384                  48.96
32768                 117.74
65536                 186.01
131072                369.29
262144                719.00
