1632538

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      10.90
2                      10.66
4                       9.84
8                       9.72
16                      9.62
32                     10.58
64                     10.79
128                    11.21
256                    10.77
512                    12.53
1024                   15.00
2048                   17.54
4096                   22.26
8192                   30.86
16384                  49.23
32768                 120.56
65536                 185.98
131072                376.37
262144                726.89
