1630862

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      11.19
2                       9.93
4                      10.22
8                       9.81
16                      9.55
32                      9.89
64                     10.20
128                    10.27
256                    11.88
512                    12.77
1024                   13.20
2048                   17.60
4096                   22.38
8192                   30.70
16384                  49.37
32768                 114.61
65536                 187.74
131072                367.51
262144                724.50
