1626035

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.31
2                      10.48
4                      10.04
8                       9.99
16                     10.46
32                     11.59
64                     11.25
128                    12.52
256                    11.20
512                    12.67
1024                   13.89
2048                   17.85
4096                   23.29
8192                   31.40
16384                  50.37
32768                 118.16
65536                 188.14
131072                372.79
262144                727.03
