1642614

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.82              9.28              8.36             45.78
2                      12.76              8.76              7.88             49.27
4                      13.01              8.92              7.99             48.81
8                      12.37              8.44              7.61             48.44
16                     11.86              7.98              7.16             45.71
32                     11.67              8.24              7.41             53.82
64                     12.10              8.33              7.50             49.82
128                    12.80              8.52              7.66             44.15
256                    12.53              8.63              7.82             50.17
512                    12.73              8.66              7.79             47.81
1024                   13.28              9.31              8.46             53.12
2048                   14.48             10.25              9.32             54.59
4096                   16.96             12.21             11.17             57.48
8192                   21.88             15.62             14.43             56.59
16384                  31.90             21.47             19.90             47.57
32768                 110.19             64.28             60.30             23.86
65536                 141.21             80.60             75.75             19.98
131072                204.98            116.38            109.40             19.02
262144                333.10            185.14            174.37             15.15
