1643998

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.72              8.99              8.16             54.29
2                      11.68              7.81              6.91             43.92
4                      11.98              8.29              7.44             50.50
8                      11.77              7.85              7.01             44.13
16                     11.63              8.05              7.24             50.46
32                     12.43              8.39              7.55             46.46
64                     13.23              9.39              8.51             54.80
128                    11.57              7.87              7.10             47.98
256                    12.27              8.36              7.53             48.10
512                    12.64              8.92              8.03             53.79
1024                   13.54              9.13              8.28             46.72
2048                   14.40             10.05              9.13             52.33
4096                   17.60             12.54             11.47             55.89
8192                   21.64             15.21             13.95             53.90
16384                  33.75             22.07             20.39             42.70
32768                 109.49             62.47             58.60             19.76
65536                 141.98             78.61             73.90             14.24
131072                203.13            114.38            107.67             17.58
262144                340.45            189.64            178.78             15.64
