1641188

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.02              8.54              7.67             41.69
2                      12.93              8.60              7.85             44.82
4                      12.66              8.71              7.82             49.51
8                      12.44              8.36              7.55             45.94
16                     13.13              9.01              8.13             49.36
32                     12.98              8.92              8.01             49.44
64                     12.33              8.54              7.69             50.71
128                    11.67              8.34              7.52             55.61
256                    12.04              8.31              7.57             50.69
512                    12.10              8.69              7.86             56.65
1024                   12.30              8.74              7.96             55.26
2048                   13.70              9.64              8.67             53.14
4096                   16.21             11.43             10.49             54.39
8192                   21.86             15.64             14.45             56.96
16384                  31.93             21.31             19.79             46.33
32768                 107.93             62.18             58.35             21.61
65536                 142.31             82.23             77.33             22.30
131072                209.16            117.39            110.47             16.93
262144                330.99            184.89            174.21             16.14
