1644793

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.89              8.62              7.72             57.58
2                      12.24              8.21              7.38             45.29
4                      12.63              8.82              7.91             51.80
8                      11.97              8.48              7.58             53.89
16                     11.49              8.01              7.21             51.69
32                     11.93              8.25              7.45             50.60
64                     11.89              8.31              7.49             52.29
128                    11.58              8.28              7.47             55.84
256                    11.53              8.14              7.42             54.37
512                    11.84              8.33              7.57             53.54
1024                   12.63              9.09              8.23             56.92
2048                   13.53              9.82              8.96             58.53
4096                   16.77             12.38             11.29             61.03
8192                   21.95             15.49             14.13             54.29
16384                  32.26             20.81             19.26             40.57
32768                 108.55             62.50             58.64             21.48
65536                 140.92             80.09             75.28             19.20
131072                201.68            111.46            104.83             13.94
262144                328.84            183.57            173.05             16.05
