1644914

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.54              9.09              8.21             45.81
2                      12.12              8.36              7.46             49.67
4                      11.76              8.20              7.42             51.97
8                      11.77              7.91              7.08             45.39
16                     11.94              7.98              7.20             45.01
32                     12.23              8.39              7.59             49.40
64                     11.99              8.29              7.53             51.00
128                    12.55              8.77              7.97             52.57
256                    12.68              8.42              7.64             44.27
512                    13.09              9.19              8.30             52.97
1024                   12.87              9.01              8.16             52.64
2048                   14.53             10.38              9.41             55.89
4096                   16.43             11.67             10.69             55.56
8192                   20.96             14.85             13.70             55.40
16384                  31.72             20.52             18.98             40.97
32768                 107.53             62.08             58.36             22.12
65536                 139.02             79.57             74.80             20.52
131072                205.12            116.43            109.66             19.13
262144                339.15            187.11            176.41             13.81
