1637392

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.53              9.18              8.36             47.94
2                      12.16              8.19              7.36             46.00
4                      10.87              7.62              6.87             52.74
8                      11.70              7.77              7.00             43.80
16                     12.16              8.37              7.56             49.86
32                     12.99              8.79              7.98             47.32
64                     11.81              8.23              7.37             51.49
128                    12.16              8.07              7.22             43.34
256                    12.45              8.48              7.61             47.84
512                    12.96              8.90              8.02             49.42
1024                   13.08              9.27              8.42             54.77
2048                   15.06             10.62              9.55             53.55
4096                   17.24             12.10             10.96             53.08
8192                   22.85             16.60             15.23             58.97
16384                  34.22             21.95             20.33             39.66
32768                 110.16             63.33             59.48             21.27
65536                 142.16             82.80             77.88             23.78
131072                206.44            116.85            110.03             18.58
262144                328.16            184.88            174.30             17.80
