1645142

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.48              8.32              7.48             44.34
2                      12.74              8.57              7.70             45.88
4                      12.08              8.34              7.57             50.61
8                      12.55              8.68              7.81             50.56
16                     12.14              8.36              7.56             50.05
32                     11.79              8.08              7.31             49.27
64                     11.73              8.02              7.20             48.51
128                    12.20              8.60              7.76             53.66
256                    12.83              8.71              7.91             47.95
512                    12.75              8.49              7.67             44.50
1024                   13.25              9.36              8.55             54.44
2048                   14.59             10.56              9.54             57.76
4096                   17.36             12.30             11.25             54.99
8192                   21.90             15.60             14.31             56.00
16384                  32.07             20.96             19.41             42.77
32768                 111.50             64.41             60.48             22.14
65536                 141.51             81.43             76.53             21.49
131072                205.44            114.62            107.90             15.83
262144                335.74            187.30            176.46             15.88
