1635654

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.37              8.34              7.47             46.08
2                      12.46              8.71              7.86             52.38
4                      12.23              8.29              7.46             47.15
8                      11.97              8.20              7.37             48.76
16                     11.79              8.18              7.38             51.08
32                     11.95              8.17              7.33             48.43
64                     12.54              8.58              7.77             49.04
128                    12.59              8.82              7.99             52.82
256                    12.48              8.92              8.05             55.78
512                    12.77              8.82              7.88             49.79
1024                   13.31              9.55              8.66             56.61
2048                   14.24             10.18              9.27             56.21
4096                   16.21             11.76             10.73             58.58
8192                   21.71             15.54             14.27             56.76
16384                  32.88             20.58             19.13             35.69
32768                 108.49             62.55             58.73             21.78
65536                 138.83             80.31             75.52             22.50
131072                209.31            118.50            111.53             18.58
262144                329.94            186.13            175.48             18.05
