1644323

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.22              7.56              6.70             45.51
2                      12.02              8.41              7.58             52.31
4                      11.26              7.66              6.76             46.77
8                      11.94              7.95              7.21             44.62
16                     13.10              9.00              8.13             49.51
32                     12.23              8.44              7.56             49.81
64                     11.71              8.01              7.20             48.72
128                    11.59              8.07              7.27             51.52
256                    12.38              8.55              7.72             50.50
512                    12.40              8.85              7.96             55.28
1024                   12.31              8.89              8.01             57.41
2048                   14.32             10.35              9.46             58.06
4096                   17.25             12.31             11.24             56.01
8192                   21.04             15.14             13.91             57.58
16384                  32.11             20.66             19.14             40.17
32768                 108.72             62.10             58.32             20.05
65536                 141.64             81.00             76.14             20.36
131072                202.39            115.65            108.90             20.34
262144                328.56            184.81            174.18             17.47
