1642483

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.06              8.74              7.93             58.18
2                      11.94              8.28              7.44             50.80
4                      11.23              7.72              6.89             49.06
8                      11.48              7.85              7.04             48.41
16                     11.75              8.17              7.28             50.80
32                     11.68              8.11              7.25             50.71
64                     12.08              8.25              7.49             48.97
128                    12.95              8.96              8.16             51.03
256                    12.85              8.78              7.96             48.93
512                    12.40              8.61              7.78             51.28
1024                   13.09              9.17              8.33             52.98
2048                   14.15             10.02              9.10             54.64
4096                   17.00             12.06             11.01             55.19
8192                   22.01             15.17             13.97             51.02
16384                  33.03             21.51             19.91             42.13
32768                 111.21             63.64             59.77             20.40
65536                 143.55             83.25             78.26             22.95
131072                200.36            112.00            105.41             16.18
262144                331.67            187.07            176.24             17.95
