1634443

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.24              8.76              7.88             43.12
2                      12.41              8.70              7.87             52.84
4                      11.32              7.61              6.81             45.46
8                      13.61              9.49              8.57             51.94
16                     12.03              8.33              7.51             50.67
32                     11.77              8.09              7.31             49.65
64                     11.49              7.93              7.14             50.21
128                    12.13              8.45              7.59             51.49
256                    12.60              8.77              7.92             51.61
512                    12.29              8.62              7.76             52.77
1024                   13.32              9.42              8.52             54.24
2048                   13.80              9.72              8.79             53.58
4096                   16.39             11.77             10.74             56.95
8192                   22.77             16.38             15.00             57.37
16384                  32.49             21.21             19.64             42.59
32768                 106.65             62.35             58.53             24.32
65536                 141.17             79.94             75.02             18.37
131072                208.12            118.45            111.54             19.60
262144                329.82            185.16            174.29             17.00
