1643432

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.15              8.87              8.03             46.75
2                      12.10              8.32              7.52             49.69
4                      11.86              7.95              7.11             44.87
8                      12.23              8.44              7.61             50.21
16                     11.66              8.02              7.23             49.65
32                     11.61              8.11              7.35             52.31
64                     11.90              8.44              7.63             54.54
128                    12.26              8.56              7.72             52.07
256                    12.36              8.51              7.73             50.19
512                    12.37              8.61              7.68             50.99
1024                   12.90              9.55              8.63             61.28
2048                   13.78              9.96              8.93             57.24
4096                   16.46             11.73             10.68             55.63
8192                   21.40             15.17             13.93             55.25
16384                  32.50             21.29             19.76             43.22
32768                 112.69             64.89             60.83             21.43
65536                 140.80             81.29             76.41             22.12
131072                207.77            117.85            110.94             18.95
262144                321.74            182.84            172.35             19.41
